year,region,asthma_2000_pop,asthma_2000_pop_urban,asthma_2000_pop_non_urban,asthma_2000_exp,asthma_2000_exp_urban,asthma_2000_exp_non_urban,asthma_2000_rate,asthma_2000_rate_urban,asthma_2000_rate_non_urban
2018,159,159670.88,84450.83,0.013911695,134053.95,77623.32,0.010432368,131807.64,72683.73,0.010934775
2018,167,2734.6116,2014.8574,0.00012651162,10175.918,9323.425,0.00014984295,12457.858,11095.009,0.00023954877
2018,174,26119.402,13682.25,0.0015837614,34322.438,20320.113,0.0017830707,43844.957,25152.162,0.00238036
2018,192,15328.111,10071.252,0.0013371395,16024.679,11498.339,0.0011513242,19973.045,14002.064,0.0015187834
2018,199,45781.04,30475.445,0.0016325574,67704.266,46724.73,0.002237763,82510.12,56164.71,0.0028101094
2019,5,246689.55,137105.89,0.00798995,275836.06,160102.56,0.008437257,194314.53,114329.72,0.005831827
2019,9,126805.0,91030.03,0.00671778,113954.97,92183.836,0.0040875105,129370.734,98613.92,0.0057754684
2019,21,187.22559,43.378506,0.00023203352,141.07452,50.983536,0.00014532187,340.06403,67.443886,0.00043975186
2019,32,20919.275,9059.092,0.001180886,18705.285,8785.819,0.000987642,21359.186,9825.564,0.0011483694
2019,42,28525.877,11342.452,0.008636303,35150.617,14125.788,0.010566964,23925.932,9571.481,0.0072144675
2019,56,49790.117,31312.432,0.00043168335,64029.395,42450.426,0.00050413626,54955.508,36391.29,0.00043370525
2019,65,61568.695,51895.18,0.014782505,54452.848,47641.637,0.010408502,53699.8,45788.508,0.012089566
2019,70,5178.1016,3805.067,0.00013178616,7360.0273,5596.6006,0.00016925675,6648.1465,4918.751,0.00016599036
2019,73,88717.9,51921.082,0.003144525,146790.28,86898.766,0.0051049395,90696.28,55476.82,0.0030097354
2019,96,29349.088,21387.23,0.0014837753,37590.98,28560.848,0.0016817127,28861.17,21158.79,0.0014354187
2019,100,302230.88,203048.28,0.0026472234,639179.8,423320.8,0.0057601063,233192.77,156792.94,0.0020391445
